"p.value","m.z","t.score"
0,271.15434,0
0,234.07721,0
0,246.0748,0
0,172.99322,0
0,230.10312,0
0,228.13192,0
0,232.56069,0
0,138.96949,0
0,267.23312,0
0,255.12333,0
0,180.0297,0
0,242.11162,0
0,136.07562,0
0,255.14228,0
0,215.16484,0
0,254.10058,0
0,234.07682,0
0,116.9273,0
0,151.01377,0
0,170.04503,0
0,114.01842,0
0,181.049969,0
0,270.11393,0
0,166.01704,0
0,256.09829,0
0,235.06027,0
0,183.10162,0
0,221.15432,0
0,163.03922,0
0,109.02827,0
0,267.1579,0
0,198.06801,0
0,248.09284,0
0,243.19646,0
0,213.11265,0
0,232.97608,0
0,152.04226,0
0,241.18101,0
0,255.07058,0
0,159.07642,0
0,213.09139,0
0,227.12843,0
0,87.04371,0
0,253.08295,0
0,117.03334,0
0,251.20173,0
0,92.92672,0
0,223.16993,0
0,261.16107,0
0,261.08017,0
0,116.92728,0
0,213.18536,0
0,261.13524,0
0,132.02868,0
0,99.92441474,0
0,259.14557,0
0,134.33928,0
0,144.02914,0
0,249.14957,0
0,164.03447,0
0,85.02802,0
0,131.07025,0
0,109.003087,0
0,149.05971,0
0,185.11745,0
0,256.23611,0
0,190.04227,0
0,107.01268,0
0,186.02231,0
0,232.05919,0
0,94.97936,0
0,99.92441182,0
0,118.91706,0
0,157.04951,0
0,112.98436,0
0,223.06081,0
0,209.08886,0
0,157.04985,0
0,199.09698,0
0,199.13318,0
0,232.0588,0
0,236.05632,0
0,197.11768,0
0,239.1288,0
0,245.06695,0
0,112.03918,0
0,221.1179,0
0,253.14433,0
0,190.05352,0
0,232.10135,0
0,241.09905,0
0,118.91707,0
0,209.08154,0
0,226.1083,0
0,225.09577,0
0,255.23301,0
0,257.17577,0
0,132.86701,0
0,265.10604,0
0,114.93282,0
0,115.0389,0
0,130.07552,0
0,213.05417,0
0,201.14891,0
0,234.11333,0
0,263.02331,0
0,257.96732,0
0,237.11267,0
0,239.20141,0
0,250.14497,0
0,253.14449,0
0,203.08137,0
0,239.0901,0
0,230.99701,0
0,250.10834,0
0,226.07158,0
0,137.02334,0
0,181.0499,0
0,99.92441,0
0,158.93799,0
0,94.97934,0
0,98.95444,0
0,117.92744,0
0,185.02713,0
0,236.98629,0
0,165.0548,0
0,241.21723,0
0,259.11264,0
0,247.08265,0
0,134.05981,0
0,96.95881,0
0,220.08215,0
0,267.10226,0
0,139.11173,0
0,141.01831,0
0,207.06582,0
0,267.04545,0
0,137.02339,0
0,104.03388,0
0,221.08172,0
0,146.06002,0
0,225.2221,0
0,136.04968,0
0,188.01005,0
0,221.0791,0
0,186.07651,0
0,252.5726,0
0,122.97451,0
0,185.08087,0
0,199.13326,0
0,243.12398,0
0,225.1855,0
0,242.94363,0
0,131.08142,0
0,264.08813,0
0,96.95868,0
0,138.05446,0
0,182.08152,0
0,127.039,0
0,151.03908,0
0,212.07459,0
0,224.01335,0
0,100.03908,0
0,197.08123,0
0,246.03869,0
0,173.02104,0
0,161.04471,0
0,255.08504,0
0,242.04922,0
0,111.04393,0
0,195.06573,0
0,99.9245,0
0,222.07669,0
